delay,freq,condition,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.rt,key_resp.duration,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,button.numClicks,button.timesOn,button.timesOff,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,fixation_.started,key_resp.started,fixation.stopped,trial.stopped,trials.key_resp.keys,trials.key_resp.rt,trials.key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,mouse.started,button.started,response.stopped,trials.textbox.text,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.button.numClicks,trials.button.timesOn,trials.button.timesOff,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0.7,1000,exp,10,10,0,space,0.35966909999842755,None,800,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1678544000023976],1,[3.152896299987333],[3.1529007999924943],0,10,10,8,79.35910629999125,,79.34620789998735,79.35910629999125,79.45931319998635,80.35880109999562,80.35880109999562,80.72943219999433,space,0.35966909999842755,None,80.72995559999254,81.44258746665243,81.7584671999939,81.7429875999951,81.74332799999684,81.7584671999939,81.7584671999939,0.00034839998988900334,81.7584671999939,84.91204289998859,800,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1678544000023976],1,[3.152896299987333],[3.1529007999924943],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,1000,exp,11,11,0,space,0.002817600005073473,None,400,[0.041666666666666664],[-0.29],[1],[0],[0],[2.933081700000912],1,[2.9180377000011504],[2.91804219999176],0,11,11,7,84.92562379999436,,84.9122684999893,84.92562379999436,85.0258504999947,85.9255933999957,85.9255933999957,85.94455399998697,space,0.002817600005073473,None,85.94498999998905,86.35893066665837,86.6759505999944,86.6604018999933,86.66072899999563,86.6759505999944,86.6759505999944,0.00033320000511594117,86.6759505999944,89.59456629998749,400,[0.041666666666666664],[-0.29],[1],[0],[0],[2.933081700000912],1,[2.9180377000011504],[2.91804219999176],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,12,0,1,space,0.2732378999935463,None,400,[0.041666666666666664],[-0.29],[1],[0],[0],[3.7857594000088284],1,[3.769563499998185],[3.769568400006392],1,0,12,5,89.60997299999872,,89.59479329999886,89.60997299999872,89.70862739998847,90.60873189999256,90.60873189999256,90.89513209999132,space,0.2732378999935463,None,90.89561719998892,91.6089468666653,91.92499929999758,91.90826259998721,91.90859599999385,91.92499929999758,91.92499929999758,0.00034100000630132854,91.92499929999758,95.69516619999195,400,[0.041666666666666664],[-0.29],[1],[0],[0],[3.7857594000088284],1,[3.769563499998185],[3.769568400006392],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,13,1,1,space,0.2015384999976959,None,150,[0.041666666666666664],[-0.29],[1],[0],[0],[3.7503563000063878],1,[3.736418800006504],[3.736423599999398],1,1,13,9,95.70854419999523,,95.69538889999967,95.70854419999523,95.80868399998872,96.70823139999993,96.70823139999993,96.91143669998564,space,0.2015384999976959,None,96.91185259999475,97.0254143666573,97.34127599999192,97.32676929999434,97.32711549999658,97.34127599999192,97.34127599999192,0.00034810000215657055,97.34127599999192,101.07816919998731,150,[0.041666666666666664],[-0.29],[1],[0],[0],[3.7503563000063878],1,[3.736418800006504],[3.736423599999398],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.1,1000,exp,14,2,1,space,0.21378190000541508,None,200,[0.041666666666666664],[-0.29],[1],[0],[0],[2.4535228999884566],1,[2.436538900001324],[2.436543599993456],1,2,14,6,101.09182789998886,,101.07840069998929,101.09182789998886,101.19195539999055,102.0924331999995,102.0924331999995,102.31147329999658,space,0.21378190000541508,None,102.31194929999765,102.42578736665406,102.74156719999155,102.72402909999073,102.72436459999881,102.74156719999155,102.74156719999155,0.00034159999631810933,102.74156719999155,105.17864839998947,200,[0.041666666666666664],[-0.29],[1],[0],[0],[2.4535228999884566],1,[2.436538900001324],[2.436543599993456],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,1000,exp,15,3,1,space,0.19160169998940546,None,800,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1031750999973156],1,[3.086793399997987],[3.0867980999901192],1,3,15,7,105.1922721999872,,105.17887179998797,105.1922721999872,105.29186289999052,106.19207809999352,106.19207809999352,106.39533849999134,space,0.19160169998940546,None,106.39601479998964,106.80847256665972,107.12507609999739,107.10820160000003,107.10850439999194,107.12507609999739,107.12507609999739,0.0003085000062128529,107.12507609999739,110.21237329998985,800,[0.041666666666666664],[-0.29],[1],[0],[0],[3.1031750999973156],1,[3.086793399997987],[3.0867980999901192],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,1000,exp,16,4,1,space,0.4113264000043273,None,809,[0.041666666666666664],[-0.29],[1],[0],[0],[3.4208627000043634],1,[3.4030012999864994],[3.4030065999977523],1,4,16,10,110.22510179999517,,110.21259869998903,110.22510179999517,110.32522079999035,111.22527359999367,111.22527359999367,111.64477139999508,space,0.4113264000043273,None,111.6452350999898,112.05918636665253,112.37467509999988,112.35609750000003,112.3565474999923,112.37467509999988,112.37467509999988,0.0004741000011563301,112.37467509999988,115.77814249999938,809,[0.041666666666666664],[-0.29],[1],[0],[0],[3.4208627000043634],1,[3.4030012999864994],[3.4030065999977523],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.4,1000,exp,17,5,1,space,1.1277197000017622,None,170,[0.041666666666666664],[-0.29],[1],[0],[0],[3.4385285999887856],1,[3.4205897000065306],[3.4205947000009473],1,5,17,4,115.79180829999677,,115.77836519999255,115.79180829999677,115.89194659999339,116.7918737,116.7918737,117.92874829999346,space,1.1277197000017622,None,117.9292742999969,118.3415908666541,118.65780369999993,118.6391764999862,118.63960609999776,118.65780369999993,118.65780369999993,0.0004523999959928915,118.65780369999993,122.07900889999291,170,[0.041666666666666664],[-0.29],[1],[0],[0],[3.4385285999887856],1,[3.4205897000065306],[3.4205947000009473],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,1000,exp,18,6,1,space,0.352726299999631,None,500,[0.041666666666666664],[-0.29],[1],[0],[0],[2.580871999991359],1,[2.5696254999929806],[2.569630400001188],1,6,18,8,122.09182439999131,,122.07923059999302,122.09182439999131,122.19177859999763,123.0916911999957,123.0916911999957,123.44590559999051,space,0.352726299999631,None,123.44666649999272,124.15840696666079,124.47467419999884,124.46287469999515,124.46320969999942,124.47467419999884,124.47467419999884,0.000341799997841008,124.47467419999884,127.04487609998614,500,[0.041666666666666664],[-0.29],[1],[0],[0],[2.580871999991359],1,[2.5696254999929806],[2.569630400001188],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
0.7,400,unexp,19,7,1,space,0.5304439000028651,None,800,[0.041666666666666664],[-0.29],[1],[0],[0],[2.7013657000061357],1,[2.6854977999901166],[2.685502499996801],1,7,19,2,127.05804979999084,,127.04509689999395,127.05804979999084,127.15858269999444,128.0581065999868,128.0581065999868,128.59428899998602,space,0.5304439000028651,None,128.5947843999893,129.30821606665657,129.62492309999652,129.608521999995,129.60886029999529,129.62492309999652,129.62492309999652,0.00034559999767225236,129.62492309999652,132.31089089998568,800,[0.041666666666666664],[-0.29],[1],[0],[0],[2.7013657000061357],1,[2.6854977999901166],[2.685502499996801],01,001,2024-11-13_22h56.19.559,Intentional Binding,2024.2.1post4,59.71286471856894,2024-11-13 23h04.25.136437 +0530,
